token,type
abcess,ailment
abcesses,ailment
abdomen,body_part
abdominal,body_part
abnormal,ailment
abnormality,ailment
abortifacient,treatment
abortion,treatment
abortive,ailment
abrotanum,ingredient
abscess,ailment
absentmindedness,ailment
absinth,ingredient
acacia,ingredient
accident,ailment
ache,ailment
acne,ailment
acorn,ingredient
acute,ailment
aesculapius,authority
affectis,authority
afflicted,ailment
agaric,ingredient
age,ailment
aged,ailment
agent,ingredient
aid,treatment
ailing,ailment
ailment,ailment
air,ingredient
al-kaḥḥalīn,authority
al-kaḥḥlīn,authority
al-kaḥḥāl,authority
al-kaḥḥālīn,authority
al-kindī,authority
alchemical,treatment
alchemist,authority
alcoholic,ailment
alcoholism,ailment
alignment,ailment
alimentation,ailment
alleviated,treatment
alleviating,treatment
allāh,authority
almond,ingredient
aloe,ingredient
aloe-wood,ingredient
alopecia,ailment
althea,ingredient
alum,ingredient
amber,ingredient
ambergris,ingredient
amenorrhoea,ailment
ammonia,ingredient
ammoniac,ingredient
amnesia,ailment
amomum,ingredient
amulet,treatment
anachroid,body_part
anal,body_part
anaphrodisiac,treatment
anarcardium,ingredient
anasarca,ingredient
anatomical,body_part
anatomy,body_part
anchusa,ingredient
andara,ingredient
anemone,ingredient
anguish,ailment
anima,authority
anise,ingredient
aniseed,ingredient
anorectal,ailment
antihemorrhagic,ingredient
antimony,ingredient
antipyretic,ingredient
anus,body_part
anxiety,ailment
aperient,treatment
aphasia,ailment
aphrodisiac,ingredient
apoplexy,ailment
apparatus,ingredient
appetite,ailment
apple,ingredient
application,treatment
applied,treatment
apprentice,authority
apricot,ingredient
arachnoid,ailment
archigenes,authority
argilla,ingredient
aristolochia,authority
aristotle,authority
arm,body_part
armpit,body_part
aromatic,ingredient
arsenic,ingredient
artemisia,ingredient
artery,body_part
asafoetida,ingredient
ascetic,authority
ascites,ailment
ash,ingredient
asparagus,ingredient
asthma,ailment
astral,treatment
astral-medicine,treatment
astringent,ingredient
astro-medical,treatment
astrological,treatment
astrological-medical,treatment
astrology,treatment
atheroma,ailment
atrophy,ailment
attack,ailment
averroes,authority
avicenna,authority
baby,body_part
back,body_part
backache,body_part
bad,ailment
badly,ailment
baking,ingredient
balanced,treatment
baldness,ailment
balm,ingredient
balsam,ingredient
bamboo,ingredient
bandage,treatment
bandaging,treatment
bark,ingredient
barley,ingredient
barley-water,ingredient
barren,ailment
basal,treatment
base,ingredient
basil,ingredient
basilius,ingredient
bath,treatment
bathing,treatment
bayṭār,authority
bdellium,ingredient
bean,ingredient
bedwetting,ailment
bee,ingredient
beet,ingredient
belly,body_part
berberi,treatment
berberis,treatment
bernard,authority
beryl,ingredient
betel,ingredient
bile,ailment
bindweed,ingredient
birth,ailment
bite,ailment
bitten,ailment
bitter,ingredient
bituminous,ingredient
bladder,body_part
bleed,ailment
bleeding,ailment
blepharitis,ailment
blindness,ailment
bloating,ailment
blockage,ailment
blocked,ailment
blood,body_part
blood-letting,treatment
bloodletting,treatment
bloodspots,ailment
bloody,ailment
blossom,ingredient
blurred,ailment
bodily,body_part
body,body_part
boil,ailment
bole,ingredient
bone,body_part
borage,ingredient
borage-water,ingredient
borax,ingredient
bowel,body_part
box-thorn,ingredient
boy,body_part
brain,body_part
bran,ingredient
brassica,ingredient
brazilwood,ingredient
bread,ingredient
breakfast,treatment
breast,body_part
breast-feeding,ailment
breast-related,ailment
breath,body_part
breathing,ailment
broken,ailment
bubo,ailment
bulimia,ailment
burn,ailment
burning,ailment
burnt,ailment
butter,ingredient
buttock,body_part
buṭlān,authority
cabbage,ingredient
cadmia,ingredient
cadmium,ingredient
caesar,treatment
calx,ingredient
camomile,ingredient
camphor,ingredient
cancer,ailment
candy,ingredient
cannabis,ingredient
canon,authority
cant,body_part
canthus,body_part
caraway,ingredient
cardamom,ingredient
cardamon,ingredient
care,treatment
caries,ailment
carminative,treatment
carnation,ingredient
carob,ingredient
carraway,ingredient
carrot,ingredient
carthamus,ingredient
cartilage,body_part
cassia,ingredient
cassis,ingredient
castor,ingredient
castoreum,ingredient
cataract,ailment
cauterisation,treatment
cautery,treatment
cava,body_part
cavity,ailment
celery,ingredient
celery-water,ingredient
cephalic,body_part
cerebral,body_part
ceruse,ingredient
chalk,ingredient
chamomile,ingredient
chebulic,ingredient
cheese,ingredient
chemistry,treatment
chest,body_part
chestnut,ingredient
chewing,body_part
chicken,ingredient
chickpea,ingredient
chicory,ingredient
child,body_part
childbirth,ailment
chin,body_part
cholera,ailment
choroid,body_part
chronic,ailment
chyme,ailment
cicatrisation,ailment
cimolia,ingredient
cinnabar,ingredient
cinnamon,ingredient
circulation,ailment
cissus,ingredient
cistus,ingredient
clay,ingredient
cleaning,treatment
cleanse,treatment
cleansing,treatment
clove,ingredient
coal,ingredient
coan,authority
coco-grass,ingredient
cocoon,ingredient
coitus,ailment
colchicum,ingredient
cold,ailment
coldness,ailment
colera,authority
colic,ailment
collyrium,treatment
colocynth,ingredient
coma,ailment
conception,ailment
concoction,treatment
congeal,treatment
congestion,ailment
conium,ingredient
conjunctiva,ailment
conjunctivitis,ailment
constipation,ailment
consumption,ailment
contraception,treatment
contraceptive,treatment
convolvulus,ingredient
convulsion,ailment
copper,ingredient
coral,ingredient
cordial,ingredient
coriander,ingredient
corn,ingredient
cornea,body_part
corneal,body_part
corona,body_part
cosmetic,treatment
costus,ingredient
cotton,ingredient
couching,treatment
cough,ailment
coughing,ailment
cow,ingredient
crack,ailment
cracked,ailment
cramp,ailment
cream,treatment
cress,ingredient
crippled,ailment
crisis,ailment
critical,ailment
crocus,ingredient
cry,ailment
cubeb,ingredient
cubital,body_part
cucumber,ingredient
cumin,ingredient
cupping,treatment
curability,treatment
curative,treatment
curcuma,ingredient
cure,treatment
cured,treatment
curing,treatment
cut,treatment
cutting,treatment
cyclamen,ingredient
cyperus,ingredient
cypress,ingredient
cytinus,ingredient
dairy,ingredient
dead,ailment
deadly,ailment
deafness,ailment
death,ailment
debilitating,ailment
decay,ailment
deficiency,ailment
deficient,ailment
deformed,ailment
delusion,ailment
dental,ailment
dentifrice,treatment
dentist,authority
dentistry,treatment
depilatory,treatment
depression,ailment
dermatitis,ailment
dermatological,treatment
dermatology,treatment
diabetes,ailment
diamond,ingredient
diaphoretic,treatment
diarrhoea,ailment
die,ailment
died,ailment
diet,treatment
dietary,treatment
dietetic,treatment
dietetics,treatment
digestion,ailment
digestive,ailment
dilatation,treatment
dill,ingredient
dimness,ailment
dioscorides,authority
diphtheria,ailment
dipping,treatment
disabled,ailment
discharge,ailment
discolouration,ailment
disease,ailment
diseased,ailment
disintegration,ailment
dislocation,ailment
disorder,ailment
dispensary,treatment
dispenses,treatment
dissolution,treatment
dissolve,treatment
dissolved,treatment
distorted,treatment
distress,ailment
diuretic,treatment
divination,treatment
divinatory,treatment
doctor,authority
dodder,ingredient
doe,ingredient
dog,ingredient
doronicum,ingredient
dosage,treatment
dropsy,ailment
druggist,authority
drunk,ailment
drunkenness,ailment
dryness,ailment
dying,ailment
dysentry,ailment
dysmenorrhea,ailment
dyspnoea,ailment
dysuria,ailment
ear,body_part
earache,ailment
eardrop,ailment
ectropion,ailment
eczema,ailment
egg,ingredient
ejaculation,ailment
elderly,ailment
elecampane,ingredient
electuaries,treatment
electuary,treatment
element,ingredient
elephantiasis,ailment
elettaria,ingredient
elimination,treatment
elixir,treatment
embrocation,treatment
embryo,body_part
embryology,body_part
emesis,treatment
emetic,treatment
emicrania,ailment
emmenagogue,treatment
endive,ingredient
endive-water,ingredient
enema,treatment
enlargement,ailment
entropion,ailment
epidemic,ailment
epilepsy,ailment
epiphora,ailment
epistaxis,ailment
epithelium,body_part
epizootic,ailment
erection,body_part
eruca,ingredient
eruption,ailment
erysipelas,ailment
euphorbia,ingredient
evacuation,treatment
examination,treatment
excess,ailment
excrement,body_part
excretion,body_part
exhaustion,ailment
exophthalmos,ailment
expectorant,treatment
expectorate,treatment
expectoration,treatment
eye,body_part
eye-pain,ailment
eye-washes,treatment
eyeball,body_part
eyebrow,body_part
eyelash,body_part
eyelid,body_part
eyesight,body_part
face,body_part
facial,body_part
facultatibus,authority
faeces,body_part
failing,ailment
faint,ailment
famine,ailment
fasting,treatment
fat,ailment
fava,ingredient
fear,ailment
febrium,authority
fennel,ingredient
fenugreek,ingredient
fertility,ailment
fever,ailment
feverish,ailment
fig,ingredient
finger,body_part
fire,ingredient
fish,ingredient
fissure,ailment
fistula,ailment
flask,ingredient
flatulence,ailment
flax,ingredient
flea-wort,ingredient
fleawort,ingredient
flour,ingredient
flower,ingredient
flu,ailment
fluid,ailment
flush,treatment
flux,ailment
foetus,body_part
foot,body_part
forearm,body_part
forehead,body_part
forgetfulness,ailment
fracture,ailment
frankincense,ingredient
freckle,body_part
fruit,ingredient
fumaria,ingredient
fumigant,treatment
fumigating,treatment
fumitory,treatment
galbanum,ingredient
galen,authority
galenic,authority
galingale,ingredient
gall-nut,ingredient
gallic,ingredient
gallnut,ingredient
gallnuts,ingredient
gangrene,ailment
gangrenous,ailment
gargle,treatment
gargling,treatment
garlic,ingredient
gas,ailment
gasping,ailment
gastric,body_part
gastro-intestinal,body_part
gentian,ingredient
giddiness,ailment
ginger,ingredient
gingivitis,ailment
gland,body_part
glaucon,authority
glauconem,authority
goat,ingredient
gold,ingredient
goose,ingredient
gourd,ingredient
gout,ailment
grape,ingredient
grass,ingredient
groin,body_part
growth,body_part
gum,ingredient
gummifera,ingredient
gustatory,body_part
gut,body_part
gynaecological,body_part
gynaecology,body_part
gypsophila,ingredient
haematite,ingredient
haematuria,ailment
haemorrhage,ailment
haemorrhoid,ailment
hair,body_part
hairy,ailment
halitosis,ailment
hallucination,ailment
hand,body_part
harmala,ingredient
hazelnut,ingredient
head,body_part
headache,ailment
heal,treatment
healing,treatment
health,treatment
healthy,treatment
hearing,ailment
heart,body_part
heat,treatment
heel,body_part
hellebore,ingredient
helminthicides,treatment
hematite,ingredient
hemicrania,ailment
hemlock,ingredient
hemp,ingredient
hen,ingredient
henna,ingredient
hepatic,ailment
herb,ingredient
hernia,ailment
herpes,ailment
hiccough,ailment
hiccup,ailment
hippocrates,authority
hippocratic,authority
hirsutism,ailment
hoarse,ailment
hoarseness,ailment
honey,ingredient
horehound,ingredient
horn,ingredient
hospital,treatment
human,body_part
humoral,treatment
humour,treatment
hunger,ailment
hyacinth,ingredient
hydrophobia,ailment
hygiene,treatment
hygienic,treatment
hypocistis,ingredient
hypopyon,ailment
hyssop,ingredient
illness,ailment
immobility,ailment
impairing,ailment
impotence,ailment
impurity,ailment
incantation,treatment
incense,treatment
incontinence,ailment
incurable,ailment
indigestion,ailment
indigo,ingredient
induced,treatment
infant,body_part
infected,ailment
infection,ailment
infertility,ailment
infestation,ailment
inflamed,ailment
inflammation,ailment
inflammatory,ailment
infusion,treatment
injection,treatment
injury,ailment
insomnia,ailment
insufflation,treatment
intercourse,ailment
internal,ailment
intestinal,body_part
intestine,body_part
intoxication,ailment
invalid,ailment
iris,body_part
iron,ingredient
irregular,ailment
irritates,ailment
irritation,ailment
ischiectomy,treatment
itch,ailment
itching,ailment
itchy,ailment
jalap,ingredient
jasmine,ingredient
jaundice,ailment
jaw,body_part
joint,body_part
juice,ingredient
jujube,ingredient
julep,ingredient
juma,ingredient
jumayʿ,authority
keratitis,ailment
kernel,ingredient
kidney,body_part
kneading,treatment
knee,body_part
kohl,ingredient
laceration,ailment
lachrymal,body_part
lachrymation,ailment
lacrimation,ailment
ladaniferus,ingredient
lambdoid,body_part
lancet,treatment
lancing,treatment
lapis,ingredient
lard,ingredient
laurel,ingredient
lavandula,ingredient
lavender,ingredient
laxative,treatment
lazuli,ingredient
lead,ingredient
leech,treatment
leek,ingredient
leek-water,ingredient
left-hand,body_part
leg,body_part
lemon,ingredient
lemongrass,ingredient
lens,body_part
lentil,ingredient
lentisk,ingredient
leper,ailment
leproid,ailment
leprosy,ailment
lethal,ailment
lethargy,ailment
lettuce,ingredient
leucoderma,ailment
leucoma,ailment
leukoderma,ailment
lichen,ingredient
licorice,ingredient
lienteric,ailment
lientery,ailment
lightheadedness,ailment
lily,ingredient
limb,body_part
lime,ingredient
limpness,ailment
linctus,treatment
linseed,ingredient
lip,body_part
liquorice,ingredient
litharge,ailment
liver,body_part
lobe,body_part
long-sightedness,ailment
looseness,ailment
lotion,treatment
lotus,ingredient
louse,ailment
lozenge,treatment
lumbar,body_part
lung,body_part
lupine,ingredient
lutum,ingredient
lycium,ingredient
lymph,body_part
mace,ingredient
maculatum,ingredient
madder,ingredient
madness,ailment
magical,treatment
magico-medical,treatment
magnesium,ingredient
mahaleb,ingredient
maimonides,authority
malar,ailment
mallow,ingredient
mandrake,ingredient
mania,ailment
manna,ingredient
marcasite,ingredient
marjoram,ingredient
marrow,ingredient
marrubium,ingredient
marsh,ingredient
marsh-mallow,ingredient
marshmallow,ingredient
massage,treatment
massaging,treatment
mastic,ingredient
mater,body_part
maturation,treatment
measles,ailment
meat,ingredient
meat-based,ingredient
medendi,authority
medical-pharmaceutical,treatment
medicament,treatment
medicated,treatment
medication,treatment
medicinal,treatment
medicine,treatment
medico-astrological,treatment
medico-cosmetic,treatment
medico-magical,treatment
medico-mystical,treatment
mehleb,authority
melaena,ailment
melancholia,ailment
melancholic,ailment
melancholy,ailment
melissa,ingredient
melitot,ingredient
melon,ingredient
member,body_part
membrane,body_part
meninges,body_part
meningitis,ailment
menorrhea,ailment
menstrual,ailment
menstruation,ailment
mental,ailment
mercury,ingredient
metal,ingredient
metel,ingredient
mezereum,ingredient
migraine,ailment
migrane,ailment
milk,ingredient
millet,ingredient
mimosa,ingredient
mineral,ingredient
minium,ingredient
mint,ingredient
mint-water,ingredient
miscarriage,ailment
miswāk,ingredient
miyrobalan,ingredient
mouth,body_part
mucilaginous,ingredient
mucus,ailment
mulberry,ingredient
mumie,ingredient
mung,ingredient
muscle,body_part
muscular,body_part
mushroom,ingredient
musk,ingredient
mustard,ingredient
mutibb,ailment
myristica,ingredient
myrobalan,ingredient
myrrh,ingredient
myrtle,ingredient
myrtle-water,ingredient
nail,body_part
narcissus,ingredient
nard,ingredient
nasal,body_part
natron,ingredient
nausea,ailment
neck,body_part
necrotic,ailment
nenuphar,ingredient
neoplasm,ailment
nerve,body_part
nervous,ailment
nightmare,ailment
nightshade,ingredient
nilotica,ingredient
nipple,body_part
nitrate,ingredient
nitre,ingredient
nose,body_part
nosebleed,ailment
numbing,ailment
numbness,ailment
nut,ingredient
nutmeg,ingredient
nutrition,treatment
nutritional,treatment
obstetrics,treatment
oculist,treatment
oil,ingredient
ointment,treatment
oleracea-water,ingredient
oligospermia,ingredient
olive,ingredient
onion,ingredient
operation,treatment
ophthalmia,ailment
ophthalmological,treatment
ophthalmology,treatment
opium,ingredient
opopanax,ingredient
opthalmology,treatment
optic,body_part
optical,body_part
optician,treatment
oral,body_part
orally,body_part
orange,ingredient
oregano,ingredient
organ,body_part
orgasm,body_part
oribasius,authority
origan,ingredient
origanum,ingredient
over-eat,ailment
overweight,ailment
ox,ingredient
oxide,ingredient
oxymel,ingredient
paediatrics,treatment
pain,ailment
painful,ailment
palm,body_part
palmatum,ingredient
palpebral,ailment
palpitation,ailment
palsy,ailment
panacea,treatment
pannus,ailment
paralysed,ailment
paralysis,ailment
parasite,ailment
paresis,ailment
parsley,ingredient
paste,ingredient
pastille,ingredient
pathological,ailment
pathology,ailment
patient,body_part
peach,ingredient
peanut,ingredient
pear,ingredient
pearl,ingredient
peel,ingredient
peganum,ingredient
pellitory,ingredient
penile,body_part
penis,body_part
peony,ingredient
pepper,ingredient
perforation,ailment
pessary,treatment
pestilence,ailment
pestilential,ailment
petroselinum,ingredient
phalanx,body_part
pharmaceutical,treatment
pharmacist,treatment
pharmacist/perfumer,treatment
pharmacological,treatment
pharmacology,treatment
pharmacopeia,treatment
pharmacopoeia,treatment
pharmacopoeial,treatment
pharmacopoeic,treatment
pharmacopoiea,treatment
philosophorum,ingredient
phlebotomy,treatment
phlegm,body_part
phlegmatic,ailment
phthisic,ailment
phthisis,ailment
physician,treatment
physiognomy,treatment
physiological,treatment
physiology,treatment
pig,ingredient
pigeon,ingredient
pill,treatment
pine,ingredient
piperita,ingredient
pistachio,ingredient
pith,ingredient
plague,ailment
plant,ingredient
plantago,ingredient
plantain,ingredient
plaster,treatment
plegia,ingredient
pleurisy,ailment
plotinus,authority
plum,ingredient
pneuma,body_part
pneumata,body_part
pneumonia,ailment
poison,ailment
poisoning,ailment
poisonous,ailment
polypody,ingredient
pomegranate,ingredient
poppy,ingredient
pore,body_part
portulaca,ingredient
potash,ingredient
potassium,ingredient
potion,treatment
poultice,treatment
pregnancy,ailment
pregnant,ailment
premature,ailment
prescription,treatment
pressure,ailment
priapism,ailment
procedure,treatment
prognosis,treatment
prognostication,treatment
prolapse,ailment
protrusion,ailment
protuberance,ailment
protusion,ailment
prune,ingredient
prunus,ingredient
pseudo-aristotle,authority
psoralea,ingredient
psychical,ailment
psychological,ailment
psyllium,ingredient
pterygium,ingredient
pubic,body_part
puffiness,ailment
pulmonary,body_part
pulse,body_part
pumpkin,ingredient
purgation,treatment
purgative,treatment
purge,treatment
purification,treatment
purifying,treatment
purslane,ingredient
pustule,ailment
putrefaction,ailment
putrid,ailment
pyrethra,ingredient
rabbit,ingredient
radish,ingredient
raisin,ingredient
rash,ailment
rat,ingredient
rectum,body_part
redness,ailment
remedy,treatment
repulsive,ailment
respiration,body_part
respiratory,body_part
retentive,body_part
rheum,ailment
rhubarb,ingredient
ribes,ingredient
rice,ingredient
rind,ingredient
ringworm,ailment
rinsing,treatment
root,ingredient
rose,ingredient
rose-syrup,ingredient
rose-water,ingredient
rosewater,ingredient
rotting,ailment
ruby,ingredient
safarjal,ingredient
safflower,ingredient
saffron,ingredient
sagapenum,ingredient
sage,ingredient
sal,ingredient
sal-ammoniac,ingredient
saline,ingredient
salivation,ailment
salix,ingredient
salpeter,ingredient
salt,ingredient
sandalwood,ingredient
sanitatis,treatment
sapagenum,ingredient
saphenous,body_part
sapientiae,ingredient
saponous,ingredient
sarcocolla,ingredient
sarcocolnla,ingredient
sardine,ingredient
sarsam,ailment
scab,ailment
scabies,ailment
scalp,body_part
scammonia,ingredient
scammony,ingredient
scamony,ingredient
sciatic,body_part
sciatica,ailment
sclera,ailment
scolopendra,ingredient
scoria,ingredient
scorpion,ailment
scrofula,ailment
sebesten,ingredient
secacul,ingredient
seed,ingredient
segulot,treatment
semen,body_part
semolina,ingredient
senna,ingredient
sepiolite,ingredient
sepsis,ailment
septic,ailment
serapion,authority
serpolet,ingredient
sesame,ingredient
seseli,ingredient
severe,ailment
sex,ailment
sexual,ailment
shivering,ailment
shortsightedness,ailment
shoulder,body_part
sick,ailment
sickness,ailment
side,body_part
sight,body_part
sigillata,ingredient
silicate,ingredient
silk,ingredient
silver,ingredient
sina,authority
sinus,body_part
skin,body_part
skull,body_part
slavery,ailment
sleep,ailment
sleeping,ailment
sleeplessness,ailment
smallpox,ailment
snail,ingredient
snake,ingredient
snakeskin,ingredient
sneezing,ailment
snuff,ingredient
soap,treatment
socotrine,ingredient
soda,ingredient
solanum,ingredient
solution,treatment
soranus,authority
sore,ailment
sore-throat,ailment
sorrel,ingredient
soul-cheerer,treatment
soup,ingredient
spasm,ailment
sperm,body_part
spermatorrhea,body_part
spice,ingredient
spikenard,ingredient
spinach,ingredient
spinal,body_part
spirit,body_part
spleen,body_part
splenic,body_part
squill,ingredient
squint,ailment
squinting,ailment
stachys,ingredient
stimulant,treatment
stimulate,treatment
stimulating,treatment
stimulus,treatment
sting,ailment
stoecha,ingredient
stoechas,ingredient
stomach,body_part
stomach-and,body_part
stool,body_part
storax,ingredient
strengthen,treatment
strengthening,treatment
stress,ailment
struthium,ingredient
stye,ailment
styrax,ingredient
suffer,ailment
suffering,ailment
suffocation,ailment
sugar,ingredient
sulfur,ingredient
sulphur,ingredient
sumac,ingredient
suppository,treatment
suppurating,ailment
suppuration,ailment
surgery,treatment
surgical,treatment
suture,treatment
swallowwort,ingredient
sweat,body_part
sweating,ailment
swollen,ailment
symptom,ailment
synochus,ailment
syrup,ingredient
sīnā,authority
sūmāq,ingredient
tablet,treatment
tachycardia,ailment
talc,ingredient
tamarind,ingredient
tamarisk,ingredient
tamarix,ingredient
tar,ingredient
tartar,ingredient
tartarate,ingredient
teeth,body_part
temperature,ailment
tendon,body_part
tenia,ailment
tension,ailment
terebinth,ingredient
testicle,body_part
testis,body_part
tetanus,ailment
tetany,ailment
therapeutic,treatment
therapeutical,treatment
theriac,treatment
theriacs,treatment
thirst,ailment
thirstiness,ailment
thistle,ingredient
thoracic,body_part
throbbing,ailment
thyme,ingredient
tibbon,authority
tinea,ailment
tinnitus,ailment
tiredness,ailment
tissue,body_part
toe,body_part
tongue,body_part
tonic,treatment
tonsil,body_part
tooth,body_part
toothache,ailment
toothbrush,treatment
toothpaste,treatment
torn,ailment
torpor,ailment
tortuosom,ingredient
toxicological,ailment
trachea,body_part
trachoma,ailment
tract,body_part
tragacanth,ingredient
treated,treatment
trembling,ailment
trichiasis,ailment
tuberculosis,ailment
turmeric,ingredient
turpentine,ingredient
turpeth,ingredient
tutty,ingredient
twitch,ailment
ulcer,ailment
ulcerated,ailment
umbilical,body_part
underweight,ailment
unripe,ingredient
urens,ingredient
urinal,body_part
urinary,ailment
urinating,body_part
urination,body_part
urine,body_part
urticaria,ailment
uterus,body_part
utrica,ingredient
uvula,body_part
uṣaybiʿa,authority
vagina,body_part
vaginal,body_part
valerian,ingredient
vapour,ingredient
varicose,ailment
vegetable,ingredient
vein,body_part
vena,body_part
venom,ailment
venous,body_part
ventricle,body_part
verdigris,ingredient
verjuice,ingredient
vermin,ailment
vertebra,body_part
vertebral,body_part
vertigo,ailment
vetch,ingredient
vine,ingredient
vinegar,ingredient
violet,ingredient
viper,ailment
vision,body_part
visual,body_part
vitiginea,ingredient
vitiligo,ailment
vitriol,ingredient
voice,body_part
vomit,ailment
vomiting,ailment
vulgare,ingredient
vulva,body_part
walnut,ingredient
wart,ailment
wash,treatment
washed,treatment
washing,treatment
wasp,ailment
wasting,ailment
water,ingredient
watercress,ingredient
watermelon,ingredient
watery,ingredient
wax,ingredient
weak,ailment
weakening,ailment
weakness,ailment
weeping,ailment
well-water,ingredient
wheat,ingredient
wheat-water,ingredient
willow,ingredient
wine,ingredient
womb,body_part
wood,ingredient
wormwood,ingredient
wound,ailment
wrist,body_part
yellow,ingredient
yolk,ingredient
zanthoxylum,ingredient
zatar,ingredient
zinc,ingredient
